,s1,s2,a,r,s_1,s_2
0,-0.029992640018463135,0.015867874026298523,2.0,0.5679374071212683,-0.015614652074873447,0.014377987943589687
1,-0.015614652074873447,0.014377987943589687,2.0,0.6269666626508525,-0.002733921865001321,0.01288073044270277
2,-0.002733921865001321,0.01288073044270277,2.0,0.6824087735896439,0.008646892383694649,0.011380814015865326
3,0.008646892383694649,0.011380814015865326,2.0,0.7331203305692479,0.018528549000620842,0.009881655685603619
4,0.018528549000620842,0.009881655685603619,2.0,0.7780748751626722,0.026914065703749657,0.008385516703128815
5,0.026914065703749657,0.008385516703128815,2.0,0.8163790351640066,0.033807724714279175,0.006893661338835955
6,0.033807724714279175,0.006893661338835955,2.0,0.8472844208976693,0.03921423479914665,0.0054065086878836155
7,0.03921423479914665,0.0054065086878836155,2.0,0.8701959322217516,0.04313802346587181,0.003923788666725159
8,0.04313802346587181,0.003923788666725159,2.0,0.8846775738998712,0.04558271914720535,0.00244469428434968
9,0.04558271914720535,0.00244469428434968,1.0,0.8844871836079771,0.04555075243115425,-3.1966967071639374e-05
10,0.04555075243115425,-3.1966967071639374e-05,2.0,0.8755327979711647,0.04404209181666374,-0.0015086609637364745
11,0.04404209181666374,-0.0015086609637364745,0.0,0.8463644962956341,0.039055220782756805,-0.004986871033906937
12,0.039055220782756805,-0.004986871033906937,2.0,0.8094981011141965,0.03258548676967621,-0.006469730753451586
13,0.03258548676967621,-0.006469730753451586,2.0,0.7656405782233264,0.024627692997455597,-0.007957794703543186
14,0.024627692997455597,-0.007957794703543186,1.0,0.7104884952559449,0.014176718890666962,-0.01045097503811121
15,0.014176718890666962,-0.01045097503811121,2.0,0.6507540997238147,0.002228004392236471,-0.011948714032769203
16,0.002228004392236471,-0.011948714032769203,2.0,0.5876375726452744,-0.011220653541386127,-0.013448658399283886
17,-0.011220653541386127,-0.013448658399283886,2.0,0.5224320190958696,-0.026167895644903183,-0.014947242103517056
18,-0.026167895644903183,-0.014947242103517056,2.0,0.4564955307914736,-0.04260743781924248,-0.016439542174339294
19,-0.04260743781924248,-0.016439542174339294,2.0,0.3912166358619146,-0.06052658334374428,-0.01791914738714695
20,-0.06052658334374428,-0.01791914738714695,2.0,0.32797306156660383,-0.07990463078022003,-0.019378045573830605
21,-0.07990463078022003,-0.019378045573830605,2.0,0.26808433764559236,-0.10071118921041489,-0.020806560292840004
22,-0.10071118921041489,-0.020806560292840004,2.0,0.21275921294711875,-0.12290450930595398,-0.022193320095539093
23,-0.12290450930595398,-0.022193320095539093,2.0,0.16304016412802402,-0.14642980694770813,-0.0235252995043993
24,-0.14642980694770813,-0.0235252995043993,2.0,0.1197476377659993,-0.17121775448322296,-0.024787934496998787
25,-0.17121775448322296,-0.024787934496998787,2.0,0.08342814692604386,-0.19718307256698608,-0.02596532367169857
26,-0.19718307256698608,-0.02596532367169857,2.0,0.05431025175356366,-0.22422358393669128,-0.027040516957640648
27,-0.22422358393669128,-0.027040516957640648,2.0,0.03227389718170852,-0.2522194981575012,-0.027995917946100235
28,-0.2522194981575012,-0.027995917946100235,2.0,0.0168374693216158,-0.2810332477092743,-0.02881375327706337
29,-0.2810332477092743,-0.02881375327706337,2.0,0.007166797295059896,-0.31050989031791687,-0.029476631432771683
30,-0.31050989031791687,-0.029476631432771683,2.0,0.0021087826899559912,-0.3404780328273773,-0.029968149960041046
31,-0.3404780328273773,-0.029968149960041046,1.0,0.0002254156235552738,-0.3717515468597412,-0.031273506581783295
32,-0.3717515468597412,-0.031273506581783295,2.0,-0.1,-0.40312492847442627,-0.03137338161468506
33,-0.40312492847442627,-0.03137338161468506,2.0,-0.1,-0.4343823194503784,-0.03125739097595215
34,-0.4343823194503784,-0.03125739097595215,2.0,-0.1,-0.46530088782310486,-0.030918553471565247
35,-0.46530088782310486,-0.030918553471565247,2.0,-0.1,-0.495654433965683,-0.030353562906384468
36,-0.495654433965683,-0.030353562906384468,2.0,-0.1,-0.5252173542976379,-0.029562899842858315
37,-0.5252173542976379,-0.029562899842858315,2.0,-0.1,-0.5537680983543396,-0.028550760820508003
38,-0.5537680983543396,-0.028550760820508003,2.0,-0.1,-0.581092894077301,-0.027324799448251724
39,-0.581092894077301,-0.027324799448251724,2.0,-0.1,-0.6069886088371277,-0.025895727798342705
40,-0.6069886088371277,-0.025895727798342705,2.0,-0.1,-0.6312654614448547,-0.02427680790424347
